Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-30 12:12:19.227,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY
2025-07-30 12:12:20.249,0.0,GO,-1.5,GO,-4.25,GO,2.75,GO,-4.25,GO,-4.25,GO
2025-07-30 12:12:21.252,0.0,GO,-1.75,GO,-4.25,GO,2.75,GO,-4.25,GO,-4.25,GO
2025-07-30 12:12:22.263,0.0,GO,-1.5,GO,-4.25,GO,2.75,GO,-4.25,GO,-4.25,GO
2025-07-30 12:12:23.284,0.0,GO,-1.75,GO,-4.25,GO,2.75,GO,-4.25,GO,-4.25,GO
2025-07-30 12:12:24.325,0.0,GO,-1.75,GO,-4.25,GO,2.75,GO,-4.25,GO,-4.25,GO
