Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-30 08:46:22.727,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY
2025-07-30 08:46:23.301,-402.25,GO,20.75,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:23.838,-402.25,GO,20.75,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:24.251,-402.25,GO,20.75,GO,22.25,GO,-347.0,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:24.807,-402.25,GO,20.75,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:25.268,-402.25,GO,20.75,GO,22.25,GO,-347.0,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:25.762,-402.25,GO,20.75,GO,22.25,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:26.336,-402.25,GO,20.75,GO,22.25,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:26.732,-402.25,GO,20.75,GO,22.25,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:27.258,-402.25,GO,20.75,GO,22.25,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:27.780,-402.25,GO,20.75,GO,22.25,GO,-347.0,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:28.259,0.0,GO,20.75,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:28.754,0.0,GO,20.75,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:29.266,0.0,GO,20.75,GO,22.25,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:29.757,0.0,GO,20.75,GO,22.25,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:30.246,0.0,GO,20.75,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:30.732,0.0,GO,20.75,GO,22.25,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:31.231,0.0,GO,20.75,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:31.746,0.0,GO,20.75,GO,22.25,GO,-347.0,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:32.246,0.0,GO,45.5,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:32.836,0.0,GO,45.5,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:33.273,0.0,GO,45.5,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:33.818,0.0,GO,0.0,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:34.240,0.0,GO,0.0,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:34.736,0.0,GO,0.0,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:35.313,0.0,GO,0.0,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:35.797,0.0,GO,0.0,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
2025-07-30 08:46:36.311,0.0,GO,0.0,GO,22.0,GO,-347.25,GO,8.75,GO,-259.25,GO
