Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-30 12:23:10.639,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY
2025-07-30 12:23:11.744,3.0,GO,-1.5,GO,-6.25,GO,-1.0,GO,-2.0,GO,1.0,GO
2025-07-30 12:23:12.697,3.0,GO,-1.5,GO,-6.25,GO,-1.0,GO,-2.0,GO,1.0,GO
2025-07-30 12:23:13.652,3.0,GO,-1.5,GO,-6.25,GO,-1.0,GO,-2.0,GO,1.0,GO
2025-07-30 12:23:14.721,3.0,GO,-1.5,GO,-6.25,GO,-0.75,GO,-2.0,GO,1.0,GO
2025-07-30 12:23:15.724,3.0,GO,-1.5,GO,-6.25,GO,-1.0,GO,-2.0,GO,1.0,GO
