Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-30 14:20:22.780,61.0,GO,92.0,GO,122.25,GO,154.25,GO,-530.25,GO,-469.25,GO
2025-07-30 14:20:23.836,63.25,GO,95.25,GO,126.5,GO,160.0,GO,-544.75,GO,-481.5,GO
2025-07-30 14:20:24.817,65.25,GO,98.0,GO,129.75,GO,162.75,GO,-569.0,GO,-503.75,GO
2025-07-30 14:20:25.884,60.5,GO,90.75,GO,120.0,GO,149.25,GO,-554.5,GO,-494.25,GO
2025-07-30 14:20:26.874,47.5,GO,72.5,GO,95.25,GO,118.75,GO,-487.0,GO,-439.5,GO
2025-07-30 14:20:27.799,48.25,GO,71.0,GO,94.0,GO,117.75,GO,-459.5,GO,-411.25,GO
2025-07-30 14:20:28.789,64.5,GO,97.5,GO,129.5,GO,164.0,GO,-556.25,GO,-491.75,GO
2025-07-30 14:20:29.877,58.25,GO,88.25,GO,116.25,GO,144.5,GO,-547.75,GO,-489.5,GO
2025-07-30 14:20:30.850,45.25,GO,67.75,GO,88.25,GO,110.25,GO,-452.5,GO,-407.25,GO
2025-07-30 14:20:31.822,64.25,GO,96.75,GO,128.5,GO,162.75,GO,-553.0,GO,-488.75,GO
2025-07-30 14:20:32.798,48.25,GO,73.5,GO,97.0,GO,121.25,GO,-496.0,GO,-447.75,GO
2025-07-30 14:20:33.883,51.5,GO,76.5,GO,100.75,GO,126.75,GO,-476.25,GO,-424.75,GO
2025-07-30 14:20:34.859,56.25,GO,84.25,GO,111.5,GO,138.75,GO,-537.75,GO,-481.5,GO
2025-07-30 14:20:35.820,51.5,GO,76.5,GO,101.25,GO,127.25,GO,-476.5,GO,-425.25,GO
2025-07-30 14:20:36.781,50.75,GO,76.75,GO,102.25,GO,127.75,GO,-514.5,GO,-464.0,GO
2025-07-30 14:20:37.870,57.25,GO,85.75,GO,114.0,GO,143.5,GO,-508.0,GO,-450.75,GO
2025-07-30 14:20:38.829,46.75,GO,71.25,GO,92.25,GO,115.25,GO,-475.5,GO,-428.75,GO
2025-07-30 14:20:39.822,63.5,GO,95.5,GO,126.75,GO,159.0,GO,-567.0,GO,-503.5,GO
2025-07-30 14:20:40.813,49.25,GO,73.0,GO,96.25,GO,120.25,GO,-465.5,GO,-416.0,GO
2025-07-30 14:20:41.836,47.5,GO,72.5,GO,94.5,GO,117.5,GO,-484.5,GO,-437.0,GO
2025-07-30 14:20:42.840,59.25,GO,89.0,GO,117.5,GO,146.25,GO,-550.75,GO,-491.5,GO
2025-07-30 14:20:43.860,62.75,GO,94.0,GO,125.0,GO,157.75,GO,-540.25,GO,-477.5,GO
2025-07-30 14:20:44.788,46.5,GO,68.0,GO,89.25,GO,111.25,GO,-452.25,GO,-405.75,GO
2025-07-30 14:20:45.809,46.25,GO,68.75,GO,89.0,GO,111.25,GO,-467.75,GO,-421.75,GO
2025-07-30 14:20:46.848,46.75,GO,69.75,GO,89.75,GO,111.25,GO,-467.5,GO,-420.75,GO
2025-07-30 14:20:47.857,45.25,GO,66.5,GO,87.5,GO,109.5,GO,-451.0,GO,-405.75,GO
2025-07-30 14:20:48.864,59.75,GO,89.5,GO,118.75,GO,149.75,GO,-517.75,GO,-458.0,GO
2025-07-30 14:20:49.889,65.25,GO,98.0,GO,130.0,GO,163.75,GO,-570.5,GO,-505.25,GO
2025-07-30 14:20:50.790,64.75,GO,97.0,GO,128.25,GO,160.5,GO,-569.5,GO,-504.75,GO
2025-07-30 14:20:51.830,63.5,GO,95.5,GO,127.0,GO,160.75,GO,-550.0,GO,-486.5,GO
2025-07-30 14:20:52.874,49.0,GO,73.25,GO,96.5,GO,121.0,GO,-468.75,GO,-419.75,GO
2025-07-30 14:20:53.787,48.25,GO,69.0,GO,89.75,GO,110.75,GO,-455.0,GO,-406.75,GO
2025-07-30 14:20:54.812,48.5,GO,71.5,GO,94.25,GO,118.25,GO,-464.5,GO,-416.0,GO
2025-07-30 14:20:55.854,60.0,GO,90.75,GO,120.25,GO,152.0,GO,-522.0,GO,-462.0,GO
