Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-31 08:49:28.738,-11.75,GO,-18.75,GO,-28.25,GO,-34.5,GO,62.25,GO,49.0,GO
2025-07-31 08:49:29.776,-4.25,GO,-6.25,GO,-10.0,GO,-10.75,GO,31.25,GO,25.5,GO
2025-07-31 08:49:30.838,8.75,GO,13.5,GO,15.75,GO,20.5,GO,-51.75,GO,-44.25,GO
2025-07-31 08:49:31.819,5.25,GO,7.75,GO,8.25,GO,11.25,GO,-46.0,GO,-42.25,GO
2025-07-31 08:49:32.778,8.25,GO,12.5,GO,14.5,GO,20.0,GO,-50.0,GO,-43.25,GO
2025-07-31 08:49:33.754,-1.5,GO,-2.5,GO,-4.75,GO,-4.5,GO,18.75,GO,15.75,GO
2025-07-31 08:49:34.841,-10.25,GO,-17.75,GO,-26.25,GO,-32.25,GO,64.0,GO,52.25,GO
2025-07-31 08:49:35.833,-10.5,GO,-16.75,GO,-25.75,GO,-31.75,GO,62.5,GO,50.75,GO
2025-07-31 08:49:36.826,-2.5,GO,-4.0,GO,-7.0,GO,-7.5,GO,24.5,GO,20.5,GO
2025-07-31 08:49:37.737,7.5,GO,10.75,GO,13.25,GO,18.25,GO,-33.25,GO,-27.25,GO
2025-07-31 08:49:38.773,7.75,GO,10.5,GO,13.0,GO,20.0,GO,-42.75,GO,-36.25,GO
2025-07-31 08:49:40.022,1.75,GO,2.75,GO,1.5,GO,3.75,GO,1.75,GO,1.75,GO
