Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-30 08:39:02.994,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY
2025-07-30 08:39:03.995,-398.75,GO,20.25,GO,18.75,GO,-344.5,GO,6.25,GO,-258.25,GO
2025-07-30 08:39:05.046,-398.75,GO,20.0,GO,18.75,GO,-344.5,GO,6.25,GO,-258.25,GO
2025-07-30 08:39:06.018,-398.75,GO,20.25,GO,18.75,GO,-344.5,GO,6.25,GO,-258.25,GO
2025-07-30 08:39:07.083,-398.75,GO,20.25,GO,18.75,GO,-344.5,GO,6.25,GO,-258.25,GO
2025-07-30 08:39:08.051,-398.75,GO,20.25,GO,18.75,GO,-344.5,GO,6.25,GO,-258.25,GO
2025-07-30 08:39:09.075,-398.75,GO,20.0,GO,18.75,GO,-344.5,GO,6.25,GO,-258.25,GO
2025-07-30 08:39:10.034,-398.75,GO,20.25,GO,18.75,GO,-344.5,GO,6.25,GO,-258.25,GO
2025-07-30 08:39:11.015,-406.75,GO,11.0,GO,4.75,GO,-362.5,GO,14.5,GO,-258.0,GO
2025-07-30 08:39:12.031,-409.25,GO,7.0,GO,-1.75,GO,-371.0,GO,41.0,GO,-234.0,GO
2025-07-30 08:39:13.038,-410.25,GO,4.5,GO,-4.5,GO,-374.0,GO,63.75,GO,-212.0,GO
2025-07-30 08:39:14.012,-396.5,GO,26.0,GO,26.0,GO,-335.25,GO,-10.0,GO,-272.25,GO
2025-07-30 08:39:15.019,-394.25,GO,29.25,GO,29.5,GO,-332.0,GO,-44.25,GO,-304.25,GO
2025-07-30 08:39:16.070,-409.0,GO,7.25,GO,-1.25,GO,-370.25,GO,36.25,GO,-238.5,GO
2025-07-30 08:39:17.092,-403.0,GO,15.5,GO,11.25,GO,-354.25,GO,27.5,GO,-241.5,GO
2025-07-30 08:39:18.021,-406.75,GO,10.75,GO,4.25,GO,-363.0,GO,12.5,GO,-260.25,GO
2025-07-30 08:39:19.045,-401.0,GO,18.75,GO,16.0,GO,-348.0,GO,14.75,GO,-251.75,GO
2025-07-30 08:39:20.131,-403.25,GO,15.5,GO,11.5,GO,-354.75,GO,-7.75,GO,-277.0,GO
2025-07-30 08:39:21.024,-390.75,GO,34.75,GO,37.0,GO,-320.5,GO,-46.5,GO,-303.0,GO
2025-07-30 08:39:22.044,-409.75,GO,4.25,GO,-4.5,GO,-374.25,GO,63.5,GO,-212.0,GO
2025-07-30 08:39:23.068,-403.5,GO,15.25,GO,11.25,GO,-355.0,GO,-7.5,GO,-276.75,GO
2025-07-30 08:39:24.075,-390.5,GO,35.0,GO,37.25,GO,-320.5,GO,-50.75,GO,-307.25,GO
2025-07-30 08:39:25.079,-400.5,GO,19.25,GO,16.5,GO,-347.0,GO,14.25,GO,-252.0,GO
2025-07-30 08:39:26.054,-408.25,GO,6.5,GO,-1.0,GO,-370.25,GO,56.75,GO,-217.25,GO
2025-07-30 08:39:27.076,-410.5,GO,4.0,GO,-5.75,GO,-375.75,GO,61.0,GO,-215.25,GO
2025-07-30 08:39:28.005,-410.25,GO,4.0,GO,-5.75,GO,-376.0,GO,60.75,GO,-215.25,GO
2025-07-30 08:39:29.010,-410.25,GO,4.75,GO,-4.75,GO,-374.75,GO,54.75,GO,-221.25,GO
2025-07-30 08:39:30.030,-410.25,GO,5.25,GO,-4.5,GO,-374.25,GO,50.75,GO,-225.25,GO
2025-07-30 08:39:31.095,-410.0,GO,5.75,GO,-3.75,GO,-373.25,GO,49.0,GO,-226.75,GO
2025-07-30 08:39:32.005,-409.5,GO,4.5,GO,-4.0,GO,-373.75,GO,62.5,GO,-212.75,GO
