Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-31 09:43:50.567,-5.25,GO,-8.25,GO,-12.25,GO,-14.0,GO,37.0,GO,30.25,GO
2025-07-31 09:43:51.657,-4.75,GO,-8.5,GO,-13.75,GO,-15.75,GO,40.0,GO,33.75,GO
2025-07-31 09:43:52.655,-1.5,GO,-3.0,GO,-4.5,GO,-4.75,GO,20.25,GO,17.25,GO
2025-07-31 09:43:53.650,3.5,GO,4.5,GO,5.0,GO,8.5,GO,-3.0,GO,-1.0,GO
2025-07-31 09:43:54.644,4.25,GO,3.75,GO,4.75,GO,7.5,GO,-4.0,GO,-1.5,GO
2025-07-31 09:43:55.608,0.5,GO,1.5,GO,0.75,GO,2.25,GO,5.5,GO,4.75,GO
2025-07-31 09:43:56.569,0.25,GO,-1.5,GO,-2.75,GO,-1.75,GO,13.75,GO,12.5,GO
2025-07-31 09:43:57.665,-0.75,GO,-1.5,GO,-2.5,GO,-2.0,GO,13.75,GO,11.5,GO
2025-07-31 09:43:58.652,-0.5,GO,-0.5,GO,-1.75,GO,-2.25,GO,13.25,GO,11.25,GO
2025-07-31 09:43:59.595,-0.25,GO,-0.75,GO,-1.75,GO,-3.0,GO,13.5,GO,11.75,GO
