Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-31 09:42:50.840,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:52.100,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:52.875,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:53.897,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:54.921,1.0,GO,-0.25,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:55.848,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:56.887,1.0,GO,-0.25,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:57.929,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:58.844,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:42:59.929,1.0,GO,-0.5,GO,-2.0,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:43:00.855,1.0,GO,-0.25,GO,-1.75,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:43:01.846,1.0,GO,-0.25,GO,-1.75,GO,-1.0,GO,11.0,GO,10.5,GO
2025-07-31 09:43:02.916,1.0,GO,-0.25,GO,-1.75,GO,-1.25,GO,11.0,GO,10.5,GO
2025-07-31 09:43:03.892,0.0,GO,-0.75,GO,-3.0,GO,-1.75,GO,13.25,GO,11.75,GO
2025-07-31 09:43:04.882,-5.25,GO,-9.0,GO,-14.0,GO,-16.0,GO,41.75,GO,35.0,GO
2025-07-31 09:43:05.872,-11.0,GO,-17.0,GO,-25.75,GO,-31.5,GO,66.0,GO,53.5,GO
2025-07-31 09:43:06.896,-7.75,GO,-11.25,GO,-17.25,GO,-20.5,GO,21.75,GO,12.5,GO
2025-07-31 09:43:07.885,-1.25,GO,-1.5,GO,-4.5,GO,-5.25,GO,-17.0,GO,-19.75,GO
2025-07-31 09:43:08.875,4.5,GO,6.25,GO,6.75,GO,8.0,GO,-38.25,GO,-35.0,GO
2025-07-31 09:43:09.894,7.5,GO,10.75,GO,12.75,GO,16.75,GO,-48.25,GO,-42.0,GO
2025-07-31 09:43:10.876,7.75,GO,11.25,GO,13.25,GO,17.75,GO,-48.75,GO,-42.5,GO
2025-07-31 09:43:11.876,6.0,GO,8.75,GO,10.0,GO,12.75,GO,-44.0,GO,-39.25,GO
2025-07-31 09:43:12.883,3.0,GO,4.0,GO,3.5,GO,4.0,GO,-32.5,GO,-31.0,GO
2025-07-31 09:43:13.860,-6.0,GO,-9.0,GO,-13.25,GO,-15.5,GO,6.5,GO,-1.0,GO
2025-07-31 09:43:14.886,-9.5,GO,-14.0,GO,-22.0,GO,-26.75,GO,43.5,GO,32.5,GO
2025-07-31 09:43:15.907,-10.75,GO,-17.5,GO,-26.0,GO,-31.25,GO,66.75,GO,54.5,GO
2025-07-31 09:43:16.930,-4.5,GO,-7.0,GO,-11.25,GO,-12.5,GO,35.5,GO,29.5,GO
2025-07-31 09:43:17.937,8.75,GO,13.5,GO,16.0,GO,22.75,GO,-46.5,GO,-39.0,GO
2025-07-31 09:43:18.927,-4.5,GO,-6.5,GO,-10.0,GO,-11.75,GO,-3.75,GO,-9.75,GO
2025-07-31 09:43:19.919,-10.75,GO,-17.75,GO,-26.25,GO,-31.75,GO,67.5,GO,55.0,GO
2025-07-31 09:43:20.896,8.0,GO,11.75,GO,14.0,GO,20.5,GO,-35.75,GO,-29.25,GO
2025-07-31 09:43:21.855,-7.25,GO,-10.5,GO,-15.75,GO,-19.0,GO,17.75,GO,9.0,GO
2025-07-31 09:43:22.863,-5.25,GO,-9.0,GO,-14.5,GO,-16.5,GO,43.5,GO,36.5,GO
2025-07-31 09:43:23.914,5.25,GO,7.25,GO,7.5,GO,9.5,GO,-40.0,GO,-36.25,GO
2025-07-31 09:43:24.944,-11.0,GO,-18.0,GO,-26.75,GO,-32.0,GO,67.5,GO,55.0,GO
2025-07-31 09:43:25.898,5.75,GO,8.75,GO,9.75,GO,12.25,GO,-43.75,GO,-39.25,GO
