Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-31 10:20:43.391,776.75,GO,508.75,GO,262.0,GO,259.25,GO,-3.25,GO,773.5,GO
2025-07-31 10:20:44.408,781.25,GO,489.75,GO,250.25,GO,249.0,GO,-3.5,GO,778.0,GO
2025-07-31 10:20:45.491,-9999.99,HI,488.0,GO,266.25,GO,274.5,GO,-3.25,GO,-9999.99,HI
2025-07-31 10:20:46.413,708.75,GO,453.25,GO,243.25,GO,243.5,GO,-3.75,GO,705.25,GO
2025-07-31 10:20:47.396,783.25,GO,486.25,GO,241.75,GO,245.75,GO,-3.25,GO,780.0,GO
2025-07-31 10:20:48.418,735.5,GO,461.25,GO,274.25,GO,279.75,GO,-3.75,GO,732.0,GO
2025-07-31 10:20:49.472,716.5,GO,452.25,GO,268.25,GO,286.25,GO,-3.75,GO,713.25,GO
2025-07-31 10:20:50.427,728.25,GO,460.5,GO,274.0,GO,293.5,GO,-4.0,GO,724.5,GO
2025-07-31 10:20:51.446,748.25,GO,470.75,GO,280.0,GO,294.5,GO,-4.0,GO,744.5,GO
2025-07-31 10:20:52.404,706.0,GO,452.25,GO,259.25,GO,269.75,GO,-4.0,GO,702.25,GO
2025-07-31 10:20:53.458,715.5,GO,458.5,GO,270.0,GO,291.25,GO,-4.0,GO,711.75,GO
2025-07-31 10:20:54.478,713.0,GO,456.75,GO,268.75,GO,287.5,GO,-4.0,GO,709.25,GO
2025-07-31 10:20:55.502,709.25,GO,457.0,GO,269.0,GO,294.75,GO,-4.0,GO,705.5,GO
2025-07-31 10:20:56.474,708.25,GO,455.5,GO,259.5,GO,281.75,GO,-3.75,GO,704.75,GO
2025-07-31 10:20:57.476,721.0,GO,466.25,GO,274.0,GO,303.0,GO,-4.0,GO,717.25,GO
2025-07-31 10:20:58.412,703.0,GO,455.5,GO,264.5,GO,284.25,GO,-4.0,GO,699.25,GO
2025-07-31 10:20:59.396,759.75,GO,483.0,GO,252.0,GO,253.75,GO,-3.75,GO,756.25,GO
2025-07-31 10:21:00.446,816.5,GO,514.5,GO,250.75,GO,250.5,GO,-3.75,GO,813.0,GO
2025-07-31 10:21:01.427,704.25,GO,452.0,GO,264.25,GO,282.75,GO,-4.25,GO,700.5,GO
2025-07-31 10:21:02.492,754.25,GO,473.25,GO,279.75,GO,290.5,GO,-3.75,GO,750.75,GO
2025-07-31 10:21:03.399,737.0,GO,461.0,GO,262.5,GO,260.5,GO,-3.75,GO,733.5,GO
2025-07-31 10:21:04.398,756.75,GO,475.5,GO,262.75,GO,265.25,GO,-3.75,GO,753.25,GO
2025-07-31 10:21:05.433,711.5,GO,447.75,GO,271.25,GO,282.75,GO,-3.75,GO,708.25,GO
2025-07-31 10:21:06.452,754.25,GO,467.25,GO,272.0,GO,269.25,GO,-3.5,GO,751.0,GO
2025-07-31 10:21:07.433,700.5,GO,447.75,GO,264.0,GO,278.75,GO,-4.0,GO,696.75,GO
