Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-30 14:02:29.690,8.0,GO,13.0,GO,15.5,GO,22.5,GO,-44.5,GO,-36.5,GO
2025-07-30 14:02:30.760,6.0,GO,9.75,GO,10.75,GO,13.25,GO,-51.0,GO,-45.25,GO
2025-07-30 14:02:31.756,-9.25,GO,-12.5,GO,-20.25,GO,-24.75,GO,31.5,GO,22.25,GO
2025-07-30 14:02:32.698,-4.25,GO,-5.75,GO,-10.0,GO,-11.0,GO,27.75,GO,23.5,GO
2025-07-30 14:02:33.687,6.5,GO,10.75,GO,12.5,GO,16.25,GO,-54.0,GO,-47.5,GO
2025-07-30 14:02:34.682,-11.0,GO,-15.75,GO,-25.0,GO,-30.5,GO,49.75,GO,38.75,GO
2025-07-30 14:02:35.782,1.5,GO,2.75,GO,2.0,GO,4.25,GO,-1.75,GO,-0.25,GO
2025-07-30 14:02:36.740,-5.25,GO,-7.5,GO,-11.0,GO,-13.5,GO,-5.5,GO,-10.75,GO
2025-07-30 14:02:37.739,-4.25,GO,-5.5,GO,-9.5,GO,-10.5,GO,26.75,GO,22.75,GO
2025-07-30 14:02:38.749,-3.0,GO,-3.5,GO,-7.25,GO,-8.5,GO,-16.0,GO,-18.75,GO
2025-07-30 14:02:39.692,0.75,GO,1.5,GO,0.5,GO,2.0,GO,2.25,GO,3.0,GO
2025-07-30 14:02:40.691,-8.75,GO,-11.5,GO,-18.5,GO,-22.5,GO,22.25,GO,13.75,GO
2025-07-30 14:02:41.697,8.5,GO,14.5,GO,17.25,GO,24.0,GO,-54.5,GO,-46.0,GO
2025-07-30 14:02:42.703,-10.75,GO,-16.5,GO,-25.25,GO,-30.75,GO,58.75,GO,48.0,GO
2025-07-30 14:02:43.790,-2.5,GO,-2.0,GO,-5.25,GO,-6.0,GO,-20.75,GO,-23.25,GO
2025-07-30 14:02:44.729,8.25,GO,13.25,GO,15.75,GO,23.0,GO,-48.5,GO,-40.25,GO
2025-07-30 14:02:45.703,-10.0,GO,-16.0,GO,-23.75,GO,-29.5,GO,57.75,GO,47.75,GO
2025-07-30 14:02:46.787,-8.75,GO,-11.5,GO,-19.0,GO,-23.5,GO,24.75,GO,16.0,GO
2025-07-30 14:02:47.693,-5.0,GO,-8.5,GO,-11.75,GO,-14.75,GO,-3.75,GO,-9.0,GO
2025-07-30 14:02:48.781,2.5,GO,4.25,GO,2.5,GO,3.5,GO,-38.0,GO,-35.5,GO
2025-07-30 14:02:49.705,8.75,GO,14.25,GO,17.0,GO,23.25,GO,-58.5,GO,-49.75,GO
2025-07-30 14:02:50.679,-4.75,GO,-7.0,GO,-12.0,GO,-13.25,GO,31.5,GO,26.75,GO
2025-07-30 14:02:51.763,-11.75,GO,-16.75,GO,-26.5,GO,-32.75,GO,56.25,GO,44.5,GO
2025-07-30 14:02:52.722,-12.0,GO,-17.25,GO,-27.5,GO,-33.5,GO,56.5,GO,44.25,GO
2025-07-30 14:02:53.727,-7.5,GO,-12.0,GO,-18.25,GO,-21.75,GO,45.5,GO,37.75,GO
2025-07-30 14:02:54.684,6.75,GO,11.0,GO,13.25,GO,19.0,GO,-35.0,GO,-28.25,GO
2025-07-30 14:02:55.770,7.75,GO,13.25,GO,15.25,GO,20.25,GO,-58.75,GO,-51.0,GO
2025-07-30 14:02:56.745,7.5,GO,12.25,GO,14.5,GO,21.25,GO,-50.25,GO,-43.0,GO
2025-07-30 14:02:57.787,-1.75,GO,-2.0,GO,-5.0,GO,-4.25,GO,15.25,GO,13.5,GO
2025-07-30 14:02:58.763,-8.0,GO,-13.0,GO,-20.25,GO,-24.75,GO,50.5,GO,42.5,GO
2025-07-30 14:02:59.736,-8.25,GO,-13.75,GO,-20.0,GO,-24.0,GO,47.25,GO,38.75,GO
2025-07-30 14:03:00.744,-0.5,GO,-0.25,GO,-1.5,GO,-0.25,GO,7.5,GO,7.25,GO
2025-07-30 14:03:01.688,5.75,GO,10.0,GO,12.0,GO,17.25,GO,-33.5,GO,-27.75,GO
2025-07-30 14:03:02.701,6.0,GO,10.0,GO,12.5,GO,17.5,GO,-35.25,GO,-29.25,GO
2025-07-30 14:03:03.775,1.5,GO,3.0,GO,2.0,GO,3.5,GO,-2.5,GO,-1.0,GO
2025-07-30 14:03:04.732,-3.5,GO,-5.75,GO,-10.0,GO,-10.5,GO,24.5,GO,21.0,GO
2025-07-30 14:03:05.706,-4.0,GO,-7.25,GO,-10.5,GO,-11.75,GO,25.25,GO,21.25,GO
2025-07-30 14:03:06.743,-1.25,GO,-1.0,GO,-1.75,GO,-1.5,GO,8.25,GO,7.0,GO
2025-07-30 14:03:07.719,2.0,GO,3.75,GO,2.25,GO,5.25,GO,-5.75,GO,-3.75,GO
2025-07-30 14:03:08.689,0.75,GO,3.25,GO,1.25,GO,3.75,GO,-5.0,GO,-4.25,GO
