Timestamp,OUT01 [μm],Judge1,OUT02 [μm],Judge2,OUT03 [μm],Judge3,OUT04 [μm],Judge4,OUT05 [μm],Judge5,OUT06 [μm],Judge6
2025-07-29 16:10:04.752,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY,-9999.98,STANDBY
2025-07-29 16:10:05.863,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:06.784,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:07.793,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:08.807,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:09.810,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:10.832,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:11.767,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:12.776,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:13.799,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:14.831,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:15.789,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:16.831,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:17.852,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:18.763,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:19.783,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:20.810,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:21.823,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:22.776,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:23.799,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:24.814,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:25.817,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:26.826,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:27.851,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:28.752,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:29.843,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:30.751,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:31.821,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:32.848,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:33.756,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:34.780,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:35.851,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:36.808,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.0,GO
2025-07-29 16:10:37.797,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:38.842,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:39.756,-403.5,GO,17.0,GO,14.0,GO,-350.75,GO,-2.0,GO,-271.25,GO
2025-07-29 16:10:40.795,-398.5,GO,22.75,GO,21.5,GO,-342.75,GO,-46.5,GO,-310.75,GO
2025-07-29 16:10:41.819,-412.25,GO,1.75,GO,-8.5,GO,-379.25,GO,53.25,GO,-224.75,GO
2025-07-29 16:10:42.857,-394.25,GO,29.75,GO,31.0,GO,-328.25,GO,-45.0,GO,-305.0,GO
2025-07-29 16:10:43.801,-412.75,GO,1.0,GO,-9.25,GO,-380.25,GO,53.25,GO,-225.5,GO
2025-07-29 16:10:44.839,-392.75,GO,31.75,GO,33.25,GO,-326.0,GO,-61.5,GO,-320.0,GO
2025-07-29 16:10:45.808,-409.0,GO,5.75,GO,-1.75,GO,-370.75,GO,41.0,GO,-233.75,GO
2025-07-29 16:10:46.856,-406.75,GO,10.75,GO,5.25,GO,-362.25,GO,-12.5,GO,-285.0,GO
2025-07-29 16:10:47.860,-392.75,GO,31.75,GO,33.25,GO,-325.25,GO,-56.0,GO,-314.5,GO
2025-07-29 16:10:48.773,-399.75,GO,21.75,GO,20.0,GO,-342.75,GO,-13.75,GO,-279.25,GO
2025-07-29 16:10:49.783,-411.0,GO,2.25,GO,-6.75,GO,-377.5,GO,51.75,GO,-224.75,GO
2025-07-29 16:10:50.805,-411.75,GO,3.5,GO,-6.5,GO,-377.25,GO,37.0,GO,-240.25,GO
2025-07-29 16:10:51.815,-408.25,GO,9.25,GO,2.75,GO,-365.0,GO,-4.0,GO,-278.0,GO
2025-07-29 16:10:52.840,-401.25,GO,18.75,GO,15.75,GO,-350.0,GO,-36.5,GO,-303.5,GO
2025-07-29 16:10:53.760,-405.25,GO,13.25,GO,8.25,GO,-358.75,GO,-20.75,GO,-291.75,GO
2025-07-29 16:10:54.773,-404.75,GO,13.75,GO,9.0,GO,-357.75,GO,-22.25,GO,-292.75,GO
